GEO_ID,FULL NAME,TOTAL WORKERS,NOT WORK FROM HOME,DRIVE,CARPOOL,PUBLIC TRANSIT,STATE,NAME
0500000US01003,"Baldwin County, Alabama",112249,,89399,4944,0,Alabama,Baldwin County
0500000US01015,"Calhoun County, Alabama",49345,,42170,3680,56,Alabama,Calhoun County
0500000US01043,"Cullman County, Alabama",40096,,34268,3613,121,Alabama,Cullman County
0500000US01049,"DeKalb County, Alabama",30713,,25684,3063,0,Alabama,DeKalb County
0500000US01051,"Elmore County, Alabama",42546,,35856,2574,0,Alabama,Elmore County
0500000US01055,"Etowah County, Alabama",43553,,35495,5165,12,Alabama,Etowah County
0500000US01069,"Houston County, Alabama",49029,46691,41389,4496,126,Alabama,Houston County
0500000US01073,"Jefferson County, Alabama",310752,277043,240906,26771,2253,Alabama,Jefferson County
0500000US01077,"Lauderdale County, Alabama",44712,,36754,3799,0,Alabama,Lauderdale County
0500000US01081,"Lee County, Alabama",86372,77959,66584,6493,546,Alabama,Lee County
0500000US01083,"Limestone County, Alabama",52253,,40600,3312,0,Alabama,Limestone County
0500000US01089,"Madison County, Alabama",202976,173041,152528,14655,555,Alabama,Madison County
0500000US01095,"Marshall County, Alabama",41547,,33909,3589,22,Alabama,Marshall County
0500000US01097,"Mobile County, Alabama",176838,162918,146625,12985,359,Alabama,Mobile County
0500000US01101,"Montgomery County, Alabama",100308,93197,79505,10192,383,Alabama,Montgomery County
0500000US01103,"Morgan County, Alabama",55298,,44597,4273,0,Alabama,Morgan County
0500000US01115,"St. Clair County, Alabama",43836,,36023,2795,0,Alabama,St. Clair County
0500000US01117,"Shelby County, Alabama",121114,100672,88533,10228,249,Alabama,Shelby County
0500000US01121,"Talladega County, Alabama",,,,,,Alabama,Talladega County
0500000US01125,"Tuscaloosa County, Alabama",109598,104165,92978,7697,202,Alabama,Tuscaloosa County
0500000US02020,"Anchorage Municipality, Alaska",150599,132732,105961,16902,2051,Alaska,Anchorage Municipality
0500000US02090,"Fairbanks North Star Borough, Alaska",47632,45853,34399,6617,616,Alaska,Fairbanks North Star Borough
0500000US02170,"Matanuska-Susitna Borough, Alaska",49548,43603,34399,5271,80,Alaska,Matanuska-Susitna Borough
0500000US04001,"Apache County, Arizona",19945,,16629,480,86,Arizona,Apache County
0500000US04003,"Cochise County, Arizona",46309,39892,33371,4195,60,Arizona,Cochise County
0500000US04005,"Coconino County, Arizona",68210,61585,45943,7894,1248,Arizona,Coconino County
