GEO_ID,FULL NAME,mng-sci,service,sales-office,natural-resource-construction,transportation,military,agri,construction,manufacturing,wholescales-trade,retails-trade,transit-warehouse-utilities,finance-insurance,professional-sci-mng,education,arts-ent,pub-admin
0500000US01003,"Baldwin County, Alabama",37.6,17.4,21.6,11.5,11.6,0.4,,,,,,,,,,,
0500000US01015,"Calhoun County, Alabama",,,,,,,,,,,,,,,,,
0500000US01043,"Cullman County, Alabama",,,,,,,,,,,,,,,,,
0500000US01049,"DeKalb County, Alabama",,,,,,,,,,,,,,,,,
0500000US01051,"Elmore County, Alabama",,,,,,,,,,,,,,,,,
0500000US01055,"Etowah County, Alabama",,,,,,,,,,,,,,,,,
0500000US01069,"Houston County, Alabama",34.3,15.3,23.2,9.4,17.4,0.3,1,6.6,12.3,3.7,13.2,8.9,6.3,8,23.8,7.7,4.9
0500000US01073,"Jefferson County, Alabama",43.1,14.6,20,7.1,15.1,0,0.7,5.2,8.4,2.1,11.4,7.9,10,10.8,25.1,8.6,3.9
0500000US01077,"Lauderdale County, Alabama",,,,,,,,,,,,,,,,,
0500000US01081,"Lee County, Alabama",43.7,18.7,17.4,4.9,14.7,0.6,,,,,,,,,,,
0500000US01083,"Limestone County, Alabama",,,,,,,,,,,,,,,,,
0500000US01089,"Madison County, Alabama",51.8,12.9,16.9,5.8,12.4,0.3,0.6,4.4,13.2,1.3,10.8,4.2,5.5,19.2,18.5,8.1,9.5
0500000US01095,"Marshall County, Alabama",,,,,,,,,,,,,,,,,
0500000US01097,"Mobile County, Alabama",33.5,17.7,20.3,9.6,18.5,0.5,0.8,7.4,14.4,2.2,11.7,5.6,6.5,10.2,23,8.3,3.5
0500000US01101,"Montgomery County, Alabama",37.9,17.7,21.2,5.5,17,0.7,,,,,,,,,,,
0500000US01103,"Morgan County, Alabama",,,,,,,,,,,,,,,,,
0500000US01115,"St. Clair County, Alabama",,,,,,,,,,,,,,,,,
0500000US01117,"Shelby County, Alabama",49.2,11.7,22.2,7.4,9.6,0,1,7.6,7.3,3.2,11.4,3.9,13.5,11.7,24.5,6,4.7
0500000US01121,"Talladega County, Alabama",,,,,,,,,,,,,,,,,
0500000US01125,"Tuscaloosa County, Alabama",40.1,15.9,17.6,8.2,17.9,0.3,0.8,4.4,16.8,1.5,10.8,4.8,4.3,8.8,30,9.5,3
